"Year","Month","Residents","Children"
2017,"2017-01",0,0
2017,"2017-02",0,0
2017,"2017-03",0,0
2017,"2017-04",0,0
2017,"2017-05",0,0
2017,"2017-06",0,0
2017,"2017-07",0,0
2017,"2017-08",0,0
2017,"2017-09",0,0
2017,"2017-10",0,0
2017,"2017-11",4,0
2017,"2017-12",4,0
2018,"2018-01",5,0
2018,"2018-02",6,0
2018,"2018-03",4,0
2018,"2018-04",3,0
2018,"2018-05",5,0
2018,"2018-06",8,1
2018,"2018-07",7,1
2018,"2018-08",7,1
2018,"2018-09",8,1
2018,"2018-10",9,1
2018,"2018-11",10,1
2018,"2018-12",10,1
2019,"2019-01",12,1
2019,"2019-02",9,1
2019,"2019-03",7,1
2019,"2019-04",7,1
2019,"2019-05",8,1
2019,"2019-06",9,2
2019,"2019-07",9,1
2019,"2019-08",10,1
2019,"2019-09",9,0
2019,"2019-10",10,2
2019,"2019-11",10,3
2019,"2019-12",10,3
2020,"2020-01",9,2
2020,"2020-02",10,2
2020,"2020-03",13,2
2020,"2020-04",11,3
2020,"2020-05",10,2
2020,"2020-06",10,2
2020,"2020-07",11,2
2020,"2020-08",8,1
2020,"2020-09",8,0
2020,"2020-10",7,0
2020,"2020-11",7,0
2020,"2020-12",7,0
2021,"2021-01",7,0
2021,"2021-02",7,0
2021,"2021-03",8,0
2021,"2021-04",8,0
2021,"2021-05",8,0
2021,"2021-06",6,0
2021,"2021-07",7,0
2021,"2021-08",9,1
2021,"2021-09",10,1
2021,"2021-10",10,1
2021,"2021-11",12,1
2021,"2021-12",11,2
2022,"2022-01",11,1
2022,"2022-02",12,1
2022,"2022-03",12,1
2022,"2022-04",9,1
2022,"2022-05",6,2
2022,"2022-06",7,3
2022,"2022-07",7,3
2022,"2022-08",8,4
2022,"2022-09",12,5
2022,"2022-10",12,5
2022,"2022-11",13,5
2022,"2022-12",15,7
2023,"2023-01",15,7
2023,"2023-02",14,7
2023,"2023-03",12,6
2023,"2023-04",13,4
2023,"2023-05",13,4
2023,"2023-06",13,5
2023,"2023-07",15,7
2023,"2023-08",13,7
2023,"2023-09",11,5
2023,"2023-10",14,7
2023,"2023-11",11,3
2023,"2023-12",10,1
2024,"2024-01",11,2
2024,"2024-02",12,1
2024,"2024-03",11,0
2024,"2024-04",14,0
2024,"2024-05",13,0
2024,"2024-06",15,0
2024,"2024-07",15,0
