"COO","Length.of.Stay....of.days.","Average_Length_Rounded"
"Afghanistan",355,355
"Angola",168,168
"Benin",781,781
"Brazil",158.4,158
"Cameroon",168.666666666667,169
"Colombia",111.5,112
"Congo",478,478
"Dominican Republic",350,350
"Ecuador",167,167
"El Salvador",83.6666666666667,84
"El Salvador ",698,698
"Eritrea",399,399
"Ethiopia",1337,1337
"Ghana",43,43
"Guatemala",161.818181818182,162
"Guinea",343,343
"Honduras",199.176470588235,199
"Mauritania",276,276
"Mexico",7,7
"Nicaragua",118,118
"Nigeria",660,660
"Pakistan",569.25,569
"Peru",92.5,92
"Saudi Arabia",7,7
"Sierra Leone",574,574
"Somalia",94.3333333333333,94
"Sudan",97,97
"Ukraine",160,160
"Venezuela",176,176
